Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
8A,,604830.694,4669926.226,49.841,,-73.73073573,42.17445964,49.841,Global,0.010,0.010,0.016,0.014,1.934,m,FIX,RTK,2025-05-07 10:10:00.0 UTC-04:00,2025-05-07 10:10:00.0 UTC-04:00,1,1.3,1.6,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,632.988,,WGS 84 / UTM zone 18N,11,7,8,0,0
8B,,604831.723,4669925.638,49.848,,-73.73072339,42.17445421,49.848,Global,0.010,0.010,0.014,0.014,1.934,m,FIX,RTK,2025-05-07 10:10:05.0 UTC-04:00,2025-05-07 10:10:05.0 UTC-04:00,1,1.4,1.7,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,633.102,,WGS 84 / UTM zone 18N,11,7,8,4,0
8C,,604831.442,4669924.949,49.791,,-73.73072691,42.17444805,49.791,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 10:10:10.0 UTC-04:00,2025-05-07 10:10:10.0 UTC-04:00,1,1.4,1.7,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,633.846,,WGS 84 / UTM zone 18N,11,7,8,4,0
9A,,604837.062,4669924.149,49.631,,-73.73065902,42.17444009,49.631,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 10:10:24.0 UTC-04:00,2025-05-07 10:10:24.0 UTC-04:00,1,1.4,1.7,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,632.299,,WGS 84 / UTM zone 18N,11,7,8,4,0
9B,,604836.459,4669923.783,49.669,,-73.73066639,42.17443688,49.669,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 10:10:31.0 UTC-04:00,2025-05-07 10:10:31.0 UTC-04:00,1,1.4,1.6,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,632.877,,WGS 84 / UTM zone 18N,11,7,8,4,0
9C,,604837.355,4669923.097,49.715,,-73.73065567,42.17443058,49.715,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 10:10:35.0 UTC-04:00,2025-05-07 10:10:35.0 UTC-04:00,1,1.4,1.7,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,633.145,,WGS 84 / UTM zone 18N,11,7,7,4,0
10A,,604822.606,4669922.518,49.710,,-73.73083430,42.17442734,49.710,Global,0.010,0.010,0.013,0.014,1.934,m,FIX,RTK,2025-05-07 10:10:57.0 UTC-04:00,2025-05-07 10:10:57.0 UTC-04:00,1,1.4,1.7,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,639.723,,WGS 84 / UTM zone 18N,10,7,0,0,0
10B,,604823.885,4669922.107,49.794,,-73.73081890,42.17442347,49.794,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2025-05-07 10:11:03.0 UTC-04:00,2025-05-07 10:11:03.0 UTC-04:00,1,1.5,1.8,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,639.560,,WGS 84 / UTM zone 18N,11,7,0,0,0
10C,,604822.827,4669921.661,49.745,,-73.73083178,42.17441959,49.745,Global,0.010,0.010,0.016,0.014,1.934,m,FIX,RTK,2025-05-07 10:11:09.0 UTC-04:00,2025-05-07 10:11:09.0 UTC-04:00,1,1.5,1.8,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,640.409,,WGS 84 / UTM zone 18N,11,7,8,4,0
11A,,604829.234,4669920.676,49.682,,-73.73075440,42.17440986,49.682,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 10:11:19.0 UTC-04:00,2025-05-07 10:11:19.0 UTC-04:00,1,1.3,1.5,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,638.651,,WGS 84 / UTM zone 18N,11,7,8,4,0
