Sample Date,Sample Number,PRINTED,Desc 1,Desc 2,Desc 3,Field Name,Organic Matter %,Nitrate-N ppm,Base Saturation Ca,Base Saturation Mg,Base Saturation K,Base Saturation Na,Base Saturation H,Base Saturation Total,Exch Acidity,Buffer pH,CEC,pH,Ca ppm,P ppm,Mg ppm,K ppm,Na ppm,Fe ppm,Zn ppm,Cu ppm,Mn ppm,Mo ppm,B ppm,Al ppm,S ppm,Morgan P lb/A,Morgan K lb/A,Morgan  Ca lb/A,Morgan Mg lb/A,Mod. Morgan Al.  ppm,Mod. Morgan B.  ppm,Mod. Morgan Ca.  ppm,Mod. Morgan Cu.  ppm,Mod. Morgan Fe.  ppm,Mod. Morgan K.  ppm,Morgan Equiv. K,Mod. Morgan Mg.  ppm,Mod. Morgan Mn.  ppm,Mod. Morgan Mo.  ppm,Mod. Morgan Na.  ppm,Mod. Morgan P.  ppm,Morgan Equiv. P,Mod. Morgan S.  ppm,Mod. Morgan Zn.  ppm,% Soluble Salts,% Total Nitrogen,Morgan Al,Morgan Ca,Morgan Cu,Morgan Fe,Morgan K,Morgan Mg,Morgan Mn,Morgan Zn
T1,76076320,1/23/26,plot_12,Hudson Carbon,slurry,12,3.51,,65.3,14.5,1.9,0.5,17.8,82.2,1.8,6.15,10.1,6.22,1322,52,178,74,13,,3.2,,,,,636,,9.5,132.4,2283.1,321.9,,,,,,,,,,,,,,,,,,,,,,,,,
T1,76076330,1/23/26,plot_13,Hudson Carbon,slurry,13,3.38,,56.5,14.2,4,0.8,24.4,75.6,2.12,6.07,8.7,5.79,983,161,150,137,17,,4.6,,,,,873,,25.2,243.8,1613,272,,,,,,,,,,,,,,,,,,,,,,,,,
T1,76076340,1/23/26,plot_14,Hudson Carbon,compost,14,3.42,,60.9,15.4,3.3,0.6,19.8,80.2,1.92,6.12,9.7,6.16,1184,131,181,127,14,,3.8,,,,,774,,28.2,225.6,2010.5,329,,,,,,,,,,,,,,,,,,,,,,,,,
T1,76076350,1/23/26,plot_15,Hudson Carbon,control,15,3.68,,67.5,14.1,1.6,0.6,16.2,83.8,1.8,6.15,11.1,6.13,1503,123,190,70,15,,3.8,,,,,727,,32,125,2641.2,344.5,,,,,,,,,,,,,,,,,,,,,,,,,
T2,76076360,1/23/26,plot_1,Hudson Carbon,slurry,16,3.86,,51.8,17.3,2.5,0.8,27.6,72.4,2.48,5.98,9,5.62,933,144,189,87,16,,4,,,,,1051,,10.1,155.1,1513.8,342.2,,,,,,,,,,,,,,,,,,,,,,,,,
T2,76076370,1/23/26,plot_2,Hudson Carbon,control,17,3.48,,58,14.6,1.5,0.7,25.2,74.8,2.24,6.04,8.9,5.98,1032,86,157,51,15,,3.2,,,,,853,,10,90.5,1708.6,285.3,,,,,,,,,,,,,,,,,,,,,,,,,
T2,76076380,1/23/26,plot_3,Hudson Carbon,compost,18,3.28,,60.9,11.9,2.3,0.7,24.1,75.9,2.16,6.06,8.9,5.7,1092,74,130,80,14,,2.7,,,,,760,,11.3,142.6,1828.8,235.1,,,,,,,,,,,,,,,,,,,,,,,,,
T2,76076390,1/23/26,plot_4,Hudson Carbon,compost,19,3.72,,48.5,12.8,2.6,0.8,35.2,64.8,2.88,5.88,8.2,5.46,796,193,128,84,15,,5.1,,,,,1086,,12.2,149.5,1242.8,231.2,,,,,,,,,,,,,,,,,,,,,,,,,
T2,76076400,1/23/26,plot_5,Hudson Carbon,control,20,3.47,,56.6,13.4,2.1,0.7,27.1,72.9,2.36,6.01,8.7,5.54,987,107,142,72,14,,3.2,,,,,826,,16.2,127.8,1620.6,257.4,,,,,,,,,,,,,,,,,,,,,,,,,
T2,76076410,1/23/26,plot_6,Hudson Carbon,slurry,21,3.37,,64.2,11.8,1.6,0.7,21.7,78.3,2.12,6.07,9.8,5.95,1256,69,140,62,15,,3.1,,,,,756,,10.8,110.9,2152.1,254.5,,,,,,,,,,,,,,,,,,,,,,,,,
T2,76076420,1/23/26,plot_7,Hudson Carbon,control,22,3.38,,51.7,14.3,2.6,0.7,30.7,69.3,2.48,5.98,8.1,5.48,838,220,141,83,13,,5.1,,,,,1073,,16.2,148.2,1325.5,255.3,,,,,,,,,,,,,,,,,,,,,,,,,
T2,76076430,1/23/26,plot_8,Hudson Carbon,compost,23,3.48,,59.2,12.8,1.7,0.7,25.4,74.6,2.24,6.04,8.8,5.93,1045,82,137,60,15,,2.8,,,,,801,,11.6,106.8,1735.5,249,,,,,,,,,,,,,,,,,,,,,,,,,
T2,76076440,1/23/26,plot_9,Hudson Carbon,compost,24,3.46,,63.8,12.5,1.9,0.5,21.3,78.7,2.2,6.05,10.3,5.77,1321,96,157,75,13,,3.3,,,,,790,,17.6,133.2,2280.8,284.1,,,,,,,,,,,,,,,,,,,,,,,,,
T2,76076450,1/23/26,plot_10,Hudson Carbon,control,25,4.13,,54.4,19.1,5.9,0.6,20,80,1.96,6.11,9.8,6.13,1066,142,228,227,12,,4.3,,,,,797,,28.1,401,1777.2,413.4,,,,,,,,,,,,,,,,,,,,,,,,,
T2,76076460,1/23/26,plot_11,Hudson Carbon,slurry,26,3.45,,61.5,15.5,3.6,0.6,18.8,81.2,1.84,6.14,9.8,5.99,1204,92,184,138,13,,3.8,,,,,725,,19.6,245.6,2049.9,333.8,,,,,,,,,,,,,,,,,,,,,,,,,
T2,76076470,1/23/26,plot_12,Hudson Carbon,slurry,27,3.69,,64.8,14.5,2.1,0.5,18,82,1.92,6.12,10.6,6.16,1381,63,188,88,13,,3.7,,,,,653,,13.7,156.8,2399.8,340.3,,,,,,,,,,,,,,,,,,,,,,,,,
T2,76076480,1/23/26,plot_13,Hudson Carbon,slurry,28,3.98,,57.4,16.9,3.7,0.5,21.5,78.5,2.04,6.09,9.5,5.86,1091,152,195,136,12,,4.7,,,,,770,,33.9,240.4,1825.4,354.1,,,,,,,,,,,,,,,,,,,,,,,,,
T2,76076490,1/23/26,plot_14,Hudson Carbon,compost,29,3.62,,61.8,15.1,2.7,0.5,19.9,80.1,1.92,6.12,9.6,6.21,1193,124,177,102,12,,3.6,,,,,757,,27.3,180.8,2027.1,320.2,,,,,,,,,,,,,,,,,,,,,,,,,
T2,76076500,1/23/26,plot_15,Hudson Carbon,control,30,4.19,,69.4,13.1,2,0.5,15.1,84.9,1.72,6.17,11.4,6.12,1586,131,182,87,12,,4.1,,,,,699,,38.1,155.1,2804.8,329.9,,,,,,,,,,,,,,,,,,,,,,,,,
T3,76076510,1/23/26,plot_1,Hudson Carbon,slurry,31,3.78,,54.6,16.8,2.7,0.7,25.3,74.7,2.2,6.05,8.7,6.08,952,131,178,91,15,,4.9,,,,,1032,,9.5,161.4,1551.3,321.9,,,,,,,,,,,,,,,,,,,,,,,,,
T3,76076520,1/23/26,plot_2,Hudson Carbon,control,32,3.44,,56.6,13.5,2.6,0.7,26.7,73.3,2.08,6.08,7.8,5.82,883,78,128,79,12,,2.6,,,,,748,,12.1,140.7,1414.4,231.1,,,,,,,,,,,,,,,,,,,,,,,,,
T3,76076530,1/23/26,plot_3,Hudson Carbon,compost,33,3.57,,62.3,12.1,2,0.6,22.9,77.1,2.08,6.08,9.1,6.14,1134,79,133,73,14,,4.4,,,,,733,,14.5,129.1,1911.5,240.9,,,,,,,,,,,,,,,,,,,,,,,,,
T3,76076540,1/23/26,plot_4,Hudson Carbon,compost,34,3.8,,48.8,15.4,3.7,0.8,31.4,68.6,2.48,5.98,7.9,5.57,772,181,148,113,14,,5,,,,,971,,18.4,200.3,1195.2,267.8,,,,,,,,,,,,,,,,,,,,,,,,,
T3,76076550,1/23/26,plot_5,Hudson Carbon,control,35,3.57,,56.4,12.6,1.9,0.7,28.4,71.6,2.24,6.04,7.9,5.98,892,94,121,58,13,,3.3,,,,,761,,16,103.6,1432.5,219.6,,,,,,,,,,,,,,,,,,,,,,,,,
T3,76076560,1/23/26,plot_6,Hudson Carbon,slurry,36,3.43,,63.3,11.2,1.6,0.6,23.3,76.7,2.12,6.07,9.1,5.77,1156,74,124,57,14,,3,,,,,737,,12.8,101.7,1954,223.8,,,,,,,,,,,,,,,,,,,,,,,,,
T3,76076570,1/23/26,plot_7,Hudson Carbon,control,37,3.47,,44.7,11.2,3.4,0.8,39.9,60.1,2.76,5.91,6.9,5.57,619,193,94,91,12,,4.8,,,,,959,,19.4,161,894,170.5,,,,,,,,,,,,,,,,,,,,,,,,,
T3,76076580,1/23/26,plot_8,Hudson Carbon,compost,38,3.49,,58.1,13.6,1.8,0.8,25.6,74.4,2.08,6.08,8.1,5.82,945,88,135,58,15,,3.2,,,,,779,,13.6,104.2,1537.8,243.6,,,,,,,,,,,,,,,,,,,,,,,,,
T3,76076590,1/23/26,plot_9,Hudson Carbon,compost,39,3.53,,62.3,11.1,1.5,0.7,24.4,75.6,2.2,6.05,9,6.02,1126,79,122,54,15,,3,,,,,734,,14.4,96,1895.7,220.5,,,,,,,,,,,,,,,,,,,,,,,,,
T3,76076600,1/23/26,plot_10,Hudson Carbon,control,40,3.28,,53.5,16.8,6.8,0.6,22.4,77.6,1.88,6.13,8.4,5.98,902,140,171,223,11,,4,,,,,813,,24.7,394.5,1453.5,310.8,,,,,,,,,,,,,,,,,,,,,,,,,
T3,76076610,1/23/26,plot_11,Hudson Carbon,slurry,41,3.44,,58.8,14.3,4.8,0.6,21.4,78.6,1.76,6.16,8.2,6.31,967,85,143,155,12,,3.3,,,,,661,,19.8,275.2,1581.7,258.2,,,,,,,,,,,,,,,,,,,,,,,,,
T3,76076620,1/23/26,plot_12,Hudson Carbon,slurry,42,3.57,,65.4,14.6,1.9,0.6,17.5,82.5,1.76,6.16,10.1,6.25,1317,49,178,76,14,,3.3,,,,,614,,9.2,135.5,2273.3,323.3,,,,,,,,,,,,,,,,,,,,,,,,,
T3,76076630,1/23/26,plot_13,Hudson Carbon,slurry,43,3.48,,56.1,16.3,2.7,0.6,24.4,75.6,2.04,6.09,8.4,6.24,942,130,166,89,11,,4,,,,,774,,25.9,158,1530.7,300.3,,,,,,,,,,,,,,,,,,,,,,,,,
T3,76076640,1/23/26,plot_14,Hudson Carbon,compost,44,3.39,,62.2,13.5,3.9,0.7,19.8,80.2,1.76,6.16,8.9,6.2,1106,128,145,135,14,,3.4,,,,,739,,29.5,238.8,1855.5,263.2,,,,,,,,,,,,,,,,,,,,,,,,,
T3,76076650,1/23/26,plot_15,Hudson Carbon,control,45,3.43,,67.3,13.8,1.6,0.6,16.7,83.3,1.72,6.17,10.3,6.36,1388,112,172,65,13,,3.8,,,,,705,,29.4,115,2412.1,312.5,,,,,,,,,,,,,,,,,,,,,,,,,
