"plot","treatment","date","collar","time","vwc1","vwc2","vwc3","mean_vwc","soil_temp_c","mean_depth"
5,"control",2025-06-03,"B",NA,20.8,NA,NA,20.8,17.4,5.95
5,"control",2025-06-03,"C",NA,22.6,NA,NA,22.6,17.7,6.35
6,"slurry",2025-06-03,"A",NA,21.9,NA,NA,21.9,16.3,5.275
6,"slurry",2025-06-03,"B",NA,26,NA,NA,26,17.2,7.475
6,"slurry",2025-06-03,"C",NA,27.7,NA,NA,27.7,17.2,6.525
7,"control",2025-06-03,"A",NA,18.6,NA,NA,18.6,18.2,5.9
7,"control",2025-06-03,"B",NA,15.8,NA,NA,15.8,18.1,6.4
7,"control",2025-06-03,"C",NA,22.7,NA,NA,22.7,18.9,6.075
8,"compost",2025-06-03,"A",NA,20.9,NA,NA,20.9,18.4,6.075
8,"compost",2025-06-03,"B",NA,22.8,NA,NA,22.8,17.7,6.425
8,"compost",2025-06-03,"C",NA,18.8,NA,NA,18.8,19.1,6.25
9,"compost",2025-06-03,"A",NA,28.2,NA,NA,28.2,16.8,5.975
9,"compost",2025-06-03,"B",NA,27.9,NA,NA,27.9,17,6.1
9,"compost",2025-06-03,"C",NA,19.6,NA,NA,19.6,17.5,5.875
10,"control",2025-06-03,"A",NA,25.5,NA,NA,25.5,17.8,6.475
10,"control",2025-06-03,"B",NA,23.4,NA,NA,23.4,18.5,5.35
10,"control",2025-06-03,"C",NA,19.7,NA,NA,19.7,18.8,5.3125
11,"slurry",2025-06-03,"A",NA,20.3,NA,NA,20.3,17.5,6.0625
11,"slurry",2025-06-03,"B",NA,23.5,NA,NA,23.5,17.1,6
11,"slurry",2025-06-03,"C",NA,27,NA,NA,27,17.7,5.1875
12,"slurry",2025-06-03,"A",NA,26.9,NA,NA,26.9,16.2,6.4375
12,"slurry",2025-06-03,"B",NA,26.6,NA,NA,26.6,15.6,5.625
12,"slurry",2025-06-03,"C",NA,24.4,NA,NA,24.4,16.6,4.875
13,"slurry",2025-06-03,"A",NA,18,NA,NA,18,18.4,6.5
13,"slurry",2025-06-03,"B",NA,21.7,NA,NA,21.7,18.2,6.25
13,"slurry",2025-06-03,"C",NA,20.7,NA,NA,20.7,19.1,5.375
14,"compost",2025-06-03,"A",NA,24.4,NA,NA,24.4,18,5.3125
14,"compost",2025-06-03,"B",NA,21.5,NA,NA,21.5,18.8,6.375
14,"compost",2025-06-03,"C",NA,21.4,NA,NA,21.4,19.5,6.8125
15,"control",2025-06-03,"A",NA,24.9,NA,NA,24.9,16.4,5.375
15,"control",2025-06-03,"B",NA,26.9,NA,NA,26.9,17.1,6.4375
15,"control",2025-06-03,"C",NA,29.4,NA,NA,29.4,17,6.125
