"plot","treatment","date","collar","FCO2_DRY","FCH4_DRY","FN2O","FCO2_R2","FCH4_R2","FN2O_R2"
9,"compost",2025-05-27,"C",8.86101,-0.38175,-0.75016,0.9988,0.987,0.66544
6,"slurry",2025-05-27,"A",10.28223,-0.47126,13.2778,0.99905,0.99388,0.37271
6,"slurry",2025-05-27,"B",9.15925,-0.31886,0.03417,0.99865,0.98107,0.0078
6,"slurry",2025-05-27,"C",10.13109,-0.42823,-0.11427,0.9992,0.9904,0.11196
5,"control",2025-05-27,"A",16.9426,-0.52189,-1.31559,0.99969,0.99272,0.0273
5,"control",2025-05-27,"B",14.97093,-0.53719,-0.02912,0.99961,0.99206,0.01287
5,"control",2025-05-27,"C",9.98879,-0.54557,-0.07464,0.9993,0.99331,0.04118
4,"compost",2025-05-27,"B",11.37129,-0.45845,-0.11364,0.99954,0.99039,0.11908
4,"compost",2025-05-27,"A",7.43789,-0.37396,0.1061,0.99762,0.9888,0.13
4,"compost",2025-05-27,"C",12.23887,-0.3581,0.01233,0.99942,0.9822,0.00036
1,"slurry",2025-05-27,"A",11.00553,-0.34639,-0.87487,0.99965,0.98451,0.69054
1,"slurry",2025-05-27,"B",6.13459,-0.26402,-0.14915,0.99861,0.97205,0.13034
1,"slurry",2025-05-27,"C",12.74404,-0.43641,-0.26554,0.99967,0.99259,0.17103
2,"control",2025-05-27,"A",8.31408,-0.38173,0.00234,0.99954,0.98838,6e-05
2,"control",2025-05-27,"C",14.021,-0.42697,0.38674,0.99961,0.99046,0.46079
2,"control",2025-05-27,"B",16.45573,-0.51392,-4.41362,0.99911,0.98573,0.61299
3,"compost",2025-05-27,"C",9.8308,-0.41272,22.75731,0.99946,0.99284,0.37427
3,"compost",2025-05-27,"A",8.81162,-0.33529,-13.75282,0.99956,0.98736,0.07152
3,"compost",2025-05-27,"B",15.6756,-0.44506,-3.28214,0.9997,0.99308,0.0989
13,"slurry",2025-05-29,"A",9.40656,-0.39545,0.24301,0.99944,0.9903,0.20581
13,"slurry",2025-05-29,"B",24.33708,5.60612,0.64791,0.99962,0.99959,0.64455
13,"slurry",2025-05-29,"C",17.75186,-0.03045,0.67617,0.99982,0.44935,0.6857
10,"control",2025-05-29,"C",5.8094,-0.32979,0.00376,0.99929,0.9891,0.00018
10,"control",2025-05-29,"B",5.68899,-0.32091,-0.08285,0.99911,0.98704,0.08489
7,"control",2025-05-29,"B",8.66726,-0.46633,0.03915,0.99954,0.99319,0.01463
7,"control",2025-05-29,"C",9.38506,-0.29707,0.00283,0.99939,0.98552,8e-05
7,"control",2025-05-29,"A",8.79086,-0.30523,-0.06043,0.9997,0.98421,0.0298
4,"compost",2025-05-29,"B",7.30909,-0.41762,-0.02968,0.99943,0.98923,0.00945
4,"compost",2025-05-29,"C",10.35281,-0.66361,0.03252,0.99915,0.9874,0.01221
4,"compost",2025-05-29,"A",5.29366,-0.35083,-0.08795,0.99811,0.98828,0.09157
1,"slurry",2025-05-29,"A",18.92785,-0.27028,0.35112,0.99903,0.95206,0.46715
1,"slurry",2025-05-29,"B",10.12372,-0.3553,0.04597,0.99969,0.98991,0.01888
1,"slurry",2025-05-29,"C",8.80473,-0.43834,0.00605,0.99954,0.99382,0.00033
2,"control",2025-05-29,"C",7.9391,-0.42478,-0.6097,0.99962,0.99328,0.35581
2,"control",2025-05-29,"A",6.27394,-0.41936,-0.07038,0.99914,0.99136,0.07149
2,"control",2025-05-29,"B",7.58111,-0.45472,0.08961,0.99957,0.99349,0.07174
5,"control",2025-05-29,"A",8.27364,-0.41228,-0.03023,0.99923,0.99319,0.00521
5,"control",2025-05-29,"C",7.56074,-0.51395,-0.09158,0.99964,0.99282,0.02991
5,"control",2025-05-29,"B",5.06034,-0.45177,-0.00869,0.99934,0.9941,0.00084
8,"compost",2025-05-29,"A",7.88153,-0.44968,-0.02035,0.99952,0.99104,0.00425
8,"compost",2025-05-29,"B",9.21577,-0.42786,-0.05796,0.99946,0.99044,0.0378
8,"compost",2025-05-29,"C",9.96041,-0.60143,0.30515,0.99952,0.99602,0.22533
11,"slurry",2025-05-29,"C",13.24587,-0.15969,0.11444,0.99878,0.94329,0.08859
11,"slurry",2025-05-29,"B",12.43867,-0.11114,0.13705,0.99985,0.90088,0.16212
11,"slurry",2025-05-29,"A",11.77083,-0.29243,-0.00302,0.99958,0.98296,0.00012
14,"compost",2025-05-29,"A",9.20946,-0.05713,-0.06729,0.99943,0.76579,0.00649
14,"compost",2025-05-29,"B",8.18861,-0.28836,-0.0699,0.99819,0.98528,0.05959
14,"compost",2025-05-29,"C",8.19299,-0.17636,0.13085,0.99922,0.95115,0.02929
15,"control",2025-05-29,"B",7.22521,-0.28039,-0.15725,0.99867,0.98231,0.18284
15,"control",2025-05-29,"A",8.67463,-0.26667,-0.17824,0.99866,0.97831,0.14195
15,"control",2025-05-29,"C",9.32542,-0.27884,-0.05694,0.99455,0.97228,0.02199
12,"slurry",2025-05-29,"C",17.05453,-0.11885,1.54605,0.99863,0.94405,0.8436
12,"slurry",2025-05-29,"A",12.70641,-0.40075,-0.08626,0.99951,0.9906,0.05523
12,"slurry",2025-05-29,"B",22.60229,-0.27029,0.49353,0.99959,0.98184,0.52325
9,"compost",2025-05-29,"B",8.3108,-0.42467,0.23659,0.9989,0.99139,0.17208
9,"compost",2025-05-29,"C",8.87898,-0.55374,0.14862,0.9989,0.99583,0.06836
9,"compost",2025-05-29,"A",8.95404,-0.3846,0.27681,0.99853,0.98779,0.2919
6,"slurry",2025-05-29,"C",91.74834,2.31041,0.69403,0.23416,0.07253,0.75233
6,"slurry",2025-05-29,"A",10.33607,-0.38863,0.32254,0.99962,0.9895,0.39491
6,"slurry",2025-05-29,"B",11.75621,-0.31586,0.13553,0.99926,0.99016,0.18555
3,"compost",2025-05-29,"A",8.92861,-0.33412,-0.00179,0.99807,0.98707,4e-05
3,"compost",2025-05-29,"C",8.66502,-0.43387,-0.00162,0.9963,0.98744,4e-05
3,"compost",2025-05-29,"B",11.80479,-0.37362,0.12771,0.99894,0.9879,0.13422
3,"compost",2025-05-30,"A",9.10842,-0.35807,0.02889,0.99786,0.98475,0.00377
3,"compost",2025-05-30,"B",13.9566,-0.35731,0.21892,0.99793,0.98662,0.27221
3,"compost",2025-05-30,"C",9.48816,-0.35041,-7.17591,0.99756,0.98817,0.15638
2,"control",2025-05-30,"A",9.15932,-0.38011,-0.00269,0.99782,0.98504,5e-05
2,"control",2025-05-30,"C",10.67428,-0.39184,-0.29249,0.99843,0.98912,0.08087
2,"control",2025-05-30,"B",12.38838,-0.49966,-0.14546,0.99903,0.98611,0.15197
1,"slurry",2025-05-30,"C",8.50365,-0.37092,0.03986,0.99731,0.98867,0.01714
1,"slurry",2025-05-30,"B",9.42638,-0.29459,0.053,0.99772,0.98479,0.04172
1,"slurry",2025-05-30,"A",17.00702,-0.18408,0.06121,0.99893,0.95924,0.02648
4,"compost",2025-05-30,"A",6.9356,-0.30125,0.05908,0.99473,0.98113,0.01816
4,"compost",2025-05-30,"B",9.54009,-0.39636,-0.16926,0.99729,0.98809,0.1789
4,"compost",2025-05-30,"C",12.49438,-0.53974,-0.17604,0.99878,0.99572,0.09241
5,"control",2025-05-30,"A",13.72559,-0.60299,-0.79992,0.9984,0.99081,0.20747
5,"control",2025-05-30,"B",8.68253,-0.53919,-0.17592,0.99758,0.9929,0.25998
5,"control",2025-05-30,"C",10.97468,-0.47608,-0.23087,0.99804,0.99247,0.26336
6,"slurry",2025-05-30,"A",10.62637,-0.42472,-0.06542,0.9991,0.9896,0.06063
6,"slurry",2025-05-30,"B",12.81656,-0.36342,-0.10796,0.99918,0.98588,0.07911
6,"slurry",2025-05-30,"C",20.09762,-0.24089,0.62263,0.9984,0.94535,0.6666
9,"compost",2025-05-30,"A",9.24208,-0.37016,-0.07659,0.99821,0.98714,0.05826
9,"compost",2025-05-30,"B",9.11711,-0.45774,-0.03417,0.99804,0.98805,0.01207
9,"compost",2025-05-30,"C",9.77064,-0.48969,-0.16478,0.99821,0.99173,0.14584
8,"compost",2025-05-30,"C",16.23757,-0.9387,-0.08846,0.99804,0.99405,0.02546
8,"compost",2025-05-30,"B",12.91286,-0.56952,-0.21243,0.99839,0.99324,0.2699
8,"compost",2025-05-30,"A",9.54703,-0.4549,-0.09719,0.99633,0.9872,0.09998
7,"control",2025-05-30,"A",16.89837,-0.36419,-0.18823,0.9982,0.97876,0.26671
7,"control",2025-05-30,"B",12.65712,-0.47876,-0.29859,0.99816,0.99345,0.06946
7,"control",2025-05-30,"C",14.20256,-0.4112,-0.09439,0.99888,0.98853,0.06315
10,"control",2025-05-30,"A",9.57537,-0.3085,0.56566,0.99731,0.98419,0.36913
10,"control",2025-05-30,"B",7.91885,-0.37467,0.11861,0.9982,0.99059,0.13331
10,"control",2025-05-30,"C",10.05889,-0.39612,0.19894,0.99759,0.98528,0.22444
11,"slurry",2025-05-30,"C",12.59647,-0.24061,0.46864,0.99726,0.97395,0.69901
11,"slurry",2025-05-30,"B",14.67652,-0.27329,0.3204,0.9992,0.97871,0.47391
11,"slurry",2025-05-30,"A",13.344,-0.28374,0.29646,0.99753,0.97481,0.57141
12,"slurry",2025-05-30,"A",9.1964,-0.44095,0.47783,0.99757,0.99263,0.44769
12,"slurry",2025-05-30,"B",18.14407,-0.333,0.74194,0.99931,0.98565,0.81964
12,"slurry",2025-05-30,"C",14.42747,-0.28679,0.93186,0.99875,0.97529,0.91844
15,"control",2025-05-30,"A",11.36649,-0.29026,0.13507,0.99689,0.98055,0.27541
15,"control",2025-05-30,"B",9.3397,-0.32599,0.0914,0.99703,0.97969,0.09051
15,"control",2025-05-30,"C",12.38579,-0.35998,0.3293,0.99688,0.98823,0.46978
14,"compost",2025-05-30,"A",10.6229,0.12296,0.13965,0.9981,0.86066,0.22768
14,"compost",2025-05-30,"C",9.82841,-0.16813,0.13627,0.99814,0.93269,0.12857
14,"compost",2025-05-30,"B",8.94208,-0.30155,0.10333,0.99876,0.97906,0.11681
13,"slurry",2025-05-30,"A",10.42349,-0.39373,0.11099,0.99916,0.99176,0.15664
13,"slurry",2025-05-30,"C",23.56046,1.80773,3.74572,0.99925,0.99884,0.99326
13,"slurry",2025-05-30,"B",16.01054,-0.28687,0.73846,0.99952,0.98034,0.7875
15,"control",2025-06-03,"A",10.56911,-0.18179,0.22859,0.99819,0.95109,0.34176
15,"control",2025-06-03,"B",10.2477,-0.21295,0.20737,0.99787,0.95051,0.30441
15,"control",2025-06-03,"C",11.70446,-0.16829,0.2939,0.99842,0.9191,0.40493
12,"slurry",2025-06-03,"A",9.07225,-0.21239,0.26139,0.99724,0.9653,0.24336
12,"slurry",2025-06-03,"B",16.55846,-0.21345,0.58041,0.99672,0.96511,0.81148
12,"slurry",2025-06-03,"C",11.62125,-0.0663,0.65569,0.99774,0.74057,0.75467
9,"compost",2025-06-03,"A",10.88292,-0.21089,0.20131,0.9988,0.97063,0.16504
9,"compost",2025-06-03,"B",9.59444,-0.21263,0.36085,0.99747,0.95719,0.51239
9,"compost",2025-06-03,"C",11.28187,-0.28767,0.62007,0.99822,0.97881,0.58941
6,"slurry",2025-06-03,"A",10.69686,-0.28896,0.32169,0.99905,0.98583,0.2484
6,"slurry",2025-06-03,"B",11.92569,-0.18938,0.43104,0.99907,0.93901,0.49124
6,"slurry",2025-06-03,"C",16.46696,-0.25468,0.83806,0.99935,0.97631,0.80183
3,"compost",2025-06-03,"A",13.28853,-0.1578,0.31145,0.99862,0.94591,0.53624
3,"compost",2025-06-03,"B",19.36688,-0.08305,0.59245,0.99873,0.79157,0.78382
3,"compost",2025-06-03,"C",11.76353,-0.24888,0.18798,0.99849,0.96846,0.20159
2,"control",2025-06-03,"A",11.09014,-0.30482,0.23472,0.99826,0.97348,0.38425
2,"control",2025-06-03,"C",12.83645,-0.23871,0.13019,0.99901,0.96503,0.19937
2,"control",2025-06-03,"B",15.94785,-0.38786,0.17296,0.99881,0.98978,0.26568
5,"control",2025-06-03,"A",14.12555,-0.30903,0.35608,0.99858,0.98342,0.36668
5,"control",2025-06-03,"B",10.35296,-0.38596,0.16033,0.9987,0.98916,0.22609
5,"control",2025-06-03,"C",13.3436,-0.40295,0.27146,0.99893,0.99286,0.17154
8,"compost",2025-06-03,"A",10.67062,-0.27695,0.11268,0.99839,0.97412,0.11941
8,"compost",2025-06-03,"B",13.01541,-0.27942,0.1687,0.99784,0.96996,0.13073
8,"compost",2025-06-03,"C",16.93414,-0.52337,0.45183,0.99936,0.99428,0.16957
11,"slurry",2025-06-03,"A",12.10629,-0.18084,0.22726,0.99907,0.92904,0.30088
11,"slurry",2025-06-03,"B",14.85134,-0.21102,0.27342,0.99852,0.96743,0.30749
11,"slurry",2025-06-03,"C",12.46292,-0.11348,0.22353,0.99878,0.90014,0.28901
14,"compost",2025-06-03,"B",10.48023,-0.19875,0.26689,0.99857,0.95578,0.39879
14,"compost",2025-06-03,"C",13.13915,-0.08885,0.17734,0.99857,0.75489,0.24813
14,"compost",2025-06-03,"A",11.90069,0.46844,0.20708,0.99928,0.85782,0.25146
13,"slurry",2025-06-03,"A",11.74214,-0.23246,0.31476,0.99888,0.96793,0.46062
13,"slurry",2025-06-03,"B",20.04077,0.53873,1.181,0.99927,0.99445,0.9052
13,"slurry",2025-06-03,"C",14.35511,-0.15247,0.40263,0.99895,0.9277,0.62063
10,"control",2025-06-03,"A",11.92035,-0.1796,0.55649,0.99757,0.94564,0.69137
10,"control",2025-06-03,"C",9.49076,-0.16933,0.18779,0.99654,0.94246,0.32343
10,"control",2025-06-03,"B",9.09267,-0.17599,0.09403,0.99661,0.9333,0.10983
7,"control",2025-06-03,"B",15.58243,-0.388,0.38654,0.99869,0.98801,0.4065
7,"control",2025-06-03,"C",13.78854,-0.23201,0.22371,0.99883,0.96992,0.36547
7,"control",2025-06-03,"A",18.09748,-0.26943,0.39046,0.99846,0.96826,0.47595
4,"compost",2025-06-03,"A",8.04,-0.22944,0.11497,0.99766,0.96946,0.11614
4,"compost",2025-06-03,"C",15.06341,-0.27451,0.23618,0.99897,0.97352,0.42777
4,"compost",2025-06-03,"B",12.97308,-0.32258,0.27154,0.99904,0.98634,0.05565
1,"slurry",2025-06-03,"C",10.88431,-0.25305,0.23508,0.998,0.97947,0.45449
1,"slurry",2025-06-03,"B",9.72586,-0.18655,0.41663,0.99838,0.95123,0.42744
1,"slurry",2025-06-03,"A",14.16444,-0.15971,0.40948,0.99818,0.93045,0.59701
7,"control",2025-06-19,"A",20.37042,-0.16565,0.45815,0.99932,0.95555,0.72518
7,"control",2025-06-19,"B",17.85402,-0.23821,1.02371,0.99907,0.96781,0.91096
7,"control",2025-06-19,"C",15.53063,-0.19453,0.2308,0.99951,0.95794,0.38251
8,"compost",2025-06-19,"A",16.16107,-0.20946,0.10039,0.99854,0.96745,0.14614
8,"compost",2025-06-19,"B",19.82385,-0.18546,0.15483,0.999,0.94496,0.27267
8,"compost",2025-06-19,"C",22.30003,-0.46197,0.02619,0.99821,0.99223,0.03582
9,"compost",2025-06-19,"B",15.17297,-0.05969,0.43601,0.99769,0.77291,0.69536
9,"compost",2025-06-19,"A",16.85875,-0.13211,0.10056,0.99878,0.88006,0.1038
9,"compost",2025-06-19,"C",16.80498,-0.2853,0.41534,0.99831,0.98131,0.65971
12,"slurry",2025-06-19,"C",15.99982,-0.19825,0.19015,0.99947,0.97039,0.25482
12,"slurry",2025-06-19,"A",17.58324,-0.16307,0.4043,0.99738,0.93973,0.60367
12,"slurry",2025-06-19,"B",24.5613,-0.21548,0.39065,0.99964,0.97864,0.67434
11,"slurry",2025-06-19,"A",16.63152,-0.20378,0.18262,0.99884,0.96672,0.09573
11,"slurry",2025-06-19,"C",16.15495,-0.12616,0.12397,0.99925,0.92992,0.16756
11,"slurry",2025-06-19,"B",17.77672,-0.14619,0.15918,0.99927,0.93644,0.14116
12,"slurry",2025-06-19,"A",16.07126,-0.1311,0.44543,0.99711,0.89031,0.6092
12,"slurry",2025-06-19,"B",13.64455,-0.17063,0.122,0.9981,0.9581,0.19808
12,"slurry",2025-06-19,"C",14.21642,-0.14316,0.21579,0.9925,0.92999,0.39573
13,"slurry",2025-06-19,"A",18.47266,-0.21982,0.30845,0.99708,0.96419,0.42092
13,"slurry",2025-06-19,"B",19.68938,0.09154,0.58647,0.99573,0.80213,0.70914
13,"slurry",2025-06-19,"C",23.81536,-0.22258,1.71683,0.99448,0.96374,0.95806
14,"compost",2025-06-19,"A",11.75357,-0.15122,0.10715,0.98235,0.9429,0.07609
14,"compost",2025-06-19,"B",16.21907,-0.17612,0.46844,0.99488,0.9393,0.37102
14,"compost",2025-06-19,"C",14.10851,-0.12309,0.32711,0.95392,0.88785,0.46564
15,"control",2025-06-19,"A",13.75156,-0.18702,0.42477,0.98878,0.9206,0.63277
15,"control",2025-06-19,"B",17.26283,-0.21398,0.58492,0.99734,0.96138,0.71736
15,"control",2025-06-19,"C",24.63574,-0.39592,0.68176,0.99761,0.99242,0.81023
3,"compost",2025-06-19,"A",22.39514,-0.07755,0.13803,0.998,0.70467,0.17128
3,"compost",2025-06-19,"B",21.96796,0.44728,0.20504,0.99316,0.98823,0.36763
3,"compost",2025-06-19,"C",15.12741,-0.16367,0.2083,0.99493,0.94719,0.4152
2,"control",2025-06-19,"A",14.20356,-0.1737,0.12121,0.99863,0.94056,0.13063
2,"control",2025-06-19,"B",19.15296,-0.28383,0.12181,0.99961,0.98539,0.24459
2,"control",2025-06-19,"C",17.88045,-0.18101,0.20813,0.99849,0.93963,0.33537
1,"slurry",2025-06-19,"A",16.48127,-0.20006,-0.63332,0.99291,0.96643,0.00384
1,"slurry",2025-06-19,"B",18.01895,-0.23883,0.36428,0.99891,0.97704,0.56862
1,"slurry",2025-06-19,"C",15.38365,-0.30341,0.03281,0.9959,0.98729,0.00596
6,"slurry",2025-06-19,"A",18.44373,-0.29649,0.23569,0.99952,0.98617,0.46864
6,"slurry",2025-06-19,"B",18.73355,-0.1599,0.29371,0.99929,0.9548,0.44665
6,"slurry",2025-06-19,"C",23.77746,-0.3816,0.63289,0.99964,0.98814,0.78169
5,"control",2025-06-19,"A",18.9179,-0.3515,0.16218,0.99974,0.9854,0.32884
5,"control",2025-06-19,"B",14.802,-0.35356,0.14663,0.99938,0.98762,0.29
5,"control",2025-06-19,"C",15.65565,-0.32291,0.18443,0.99967,0.98854,0.4346
4,"compost",2025-06-19,"A",14.20586,-0.23292,0.17634,0.99909,0.97462,0.31112
4,"compost",2025-06-19,"B",14.34406,-0.25037,0.062,0.9996,0.96783,0.01396
4,"compost",2025-06-19,"C",17.37909,-0.25974,0.242,0.99969,0.98119,0.44141
3,"compost",2025-07-09,"A",19.78869,-0.86409,0.52675,0.99934,0.99791,0.53091
3,"compost",2025-07-09,"B",21.08891,-0.70796,2.3915,0.99481,0.99609,0.97519
3,"compost",2025-07-09,"C",15.50242,-0.73304,0.12207,0.99895,0.99669,0.13574
6,"slurry",2025-07-09,"A",14.02541,-0.74902,-0.77186,0.99668,0.99673,0.03356
6,"slurry",2025-07-09,"B",25.74307,-0.73793,0.14948,0.99955,0.99655,0.10273
6,"slurry",2025-07-09,"C",23.97098,-0.68401,-0.01337,0.99957,0.99472,0.00115
9,"compost",2025-07-09,"A",20.17783,-0.80957,0.15158,0.99607,0.99546,0.15178
9,"compost",2025-07-09,"B",24.15375,-0.58934,0.23591,0.99677,0.99456,0.24371
9,"compost",2025-07-09,"C",15.14,-0.71561,0.12505,0.99476,0.99676,0.09885
12,"slurry",2025-07-09,"A",20.11235,-0.69243,0.05828,0.99793,0.9968,0.02512
12,"slurry",2025-07-09,"C",10.87938,-0.45067,-0.13169,0.99001,0.99273,0.11299
12,"slurry",2025-07-09,"B",17.32161,-0.61818,-0.17429,0.99499,0.99635,0.0629
15,"control",2025-07-09,"A",13.04402,-0.48361,-0.05664,0.99791,0.99425,0.04171
15,"control",2025-07-09,"B",10.23528,-0.51475,-0.08018,0.9863,0.99166,0.04503
15,"control",2025-07-09,"C",20.48967,-0.56632,0.04138,0.99774,0.99533,0.01286
14,"compost",2025-07-09,"A",13.65924,-0.4046,-0.00408,0.9775,0.98493,0.00018
14,"compost",2025-07-09,"C",13.57939,-0.29348,-0.00327,0.98182,0.98188,0.00026
14,"compost",2025-07-09,"B",15.6478,-0.49847,-2.16901,0.99444,0.993,0.03374
11,"slurry",2025-07-09,"A",10.95076,-0.48916,0.07804,0.98491,0.99104,0.01085
11,"slurry",2025-07-09,"B",12.83206,-0.48296,0.13629,0.99903,0.99503,0.13749
11,"slurry",2025-07-09,"C",18.08441,-0.53968,-0.17048,0.99817,0.99464,0.21703
8,"compost",2025-07-09,"A",13.6692,-0.70585,-0.16666,0.97737,0.99467,0.07844
8,"compost",2025-07-09,"B",12.79234,-0.64139,-0.0402,0.99747,0.99681,0.01575
8,"compost",2025-07-09,"C",20.63562,-1.00237,-0.53751,0.99888,0.99838,0.01827
5,"control",2025-07-09,"A",16.63065,-0.73052,0.01065,0.99941,0.9962,0.00356
5,"control",2025-07-09,"B",14.74535,-0.81111,0.0154,0.9998,0.99766,0.00326
